episode,title,abbr,stardate,original_airdate,production_number
2x11,Rivals,DS9,Unknown,1994-01-02,40512-431
2x12,The Alternate,DS9,47391.7,1994-01-09,40512-432
2x13,Armageddon Game,DS9,Unknown,1994-01-30,40512-433
2x14,Whispers,DS9,47581.2,1994-02-06,40512-434
2x15,Paradise,DS9,47573.1,1994-02-13,40512-435
2x16,Shadowplay,DS9,47603.3,1994-02-20,40512-436
2x17,Playing God,DS9,Unknown,1994-02-27,40512-437
2x18,Profit and Loss,DS9,Unknown,1994-03-20,40512-438
2x19,Blood Oath,DS9,Unknown,1994-03-27,40512-439
2x20,"The Maquis, Part I",DS9,Unknown,1994-04-24,40512-440
2x21,"The Maquis, Part II",DS9,Unknown,1994-05-01,40512-441
2x22,The Wire,DS9,Unknown,1994-05-08,40512-442
2x23,Crossover,DS9,Unknown,1994-05-15,40512-443
2x24,The Collaborator,DS9,Unknown,1994-05-22,40512-444
2x25,Tribunal,DS9,47944.2,1994-06-05,40512-445
2x26,The Jem'Hadar,DS9,Unknown,1994-06-12,40512-446
3x01,"The Search, Part I",DS9,48212.4-48214.5,1994-09-26,40512-447
3x02,"The Search, Part II",DS9,Unknown,1994-10-03,40512-447
3x03,The House of Quark,DS9,Unknown,1994-10-10,40513-449
3x04,Equilibrium,DS9,Unknown,1994-10-17,40513-450
3x05,Second Skin,DS9,Unknown,1994-10-24,40513-451
3x06,The Abandoned,DS9,Unknown,1994-10-31,40513-452
3x07,Civil Defense,DS9,Unknown,1994-11-07,40513-453
3x08,Meridian,DS9,48423.2,1994-11-14,40513-454
3x09,Defiant,DS9,48467.3,1994-11-21,40513-455
3x10,Fascination,DS9,Unknown,1994-11-28,40513-456
3x11,"Past Tense, Part I",DS9,48481.2,1995-01-08,40513-457
3x12,"Past Tense, Part II",DS9,Unknown,1995-01-15,40513-458
3x13,Life Support,DS9,48498.4,1995-01-31,40513-459
3x14,Heart of Stone,DS9,48521.5,1995-02-06,40513-460
3x15,Destiny,DS9,48543.2,1995-02-13,40513-461
3x16,Prophet Motive,DS9,Unknown,1995-02-20,40513-462
3x17,Visionary,DS9,Unknown,1995-02-27,40513-463
3x18,Distant Voices,DS9,Unknown,1995-04-10,40513-464
3x19,Through the Looking Glass,DS9,Unknown,1995-04-17,40513-466
3x20,Improbable Cause,DS9,Unknown,1995-04-24,40513-465
3x21,The Die is Cast,DS9,Unknown,1995-05-01,40513-467
3x22,Explorers,DS9,Unknown,1995-05-08,40513-468
3x23,Family Business,DS9,Unknown,1995-05-15,40513-469
3x24,Shakaar,DS9,Unknown,1995-05-22,40513-470
3x25,Facets,DS9,48876.3,1995-06-12,40513-471
3x26,The Adversary,DS9,48959.1,1995-06-25,40513-472
4x01/02,The Way of the Warrior,DS9,49011.4,1995-10-02,40514-473
4x03,The Visitor,DS9,49034.7,1995-10-09,40510-476
4x04,Hippocratic Oath,DS9,49066.5,1995-10-16,40510-475
4x05,Indiscretion,DS9,Unknown,1995-10-23,40510-477
4x06,Rejoined,DS9,49195.5,1995-10-30,40510-478
4x07,Starship Down,DS9,49263.5,1995-11-13,40510-480
